Vds	Id(M1)
Step Information: Vgs=2  (Step: 1/6)
1.830000000000000e+01	2.904618e+00
1.840000000000000e+01	2.905591e+00
1.850000000000000e+01	2.906564e+00
1.860000000000000e+01	2.907537e+00
1.870000000000000e+01	2.908509e+00
1.880000000000000e+01	2.909482e+00
1.890000000000000e+01	2.910454e+00
1.900000000000000e+01	2.911426e+00
1.910000000000000e+01	2.912399e+00
1.920000000000000e+01	2.913370e+00
1.930000000000000e+01	2.914342e+00
1.940000000000000e+01	2.915314e+00
1.950000000000000e+01	2.916286e+00
1.960000000000000e+01	2.917257e+00
1.970000000000000e+01	2.918229e+00
1.980000000000000e+01	2.919200e+00
1.990000000000000e+01	2.920171e+00
2.000000000000000e+01	2.921142e+00
2.010000000000000e+01	2.922113e+00
2.020000000000000e+01	2.923084e+00
2.030000000000000e+01	2.924055e+00
2.040000000000000e+01	2.925025e+00
2.050000000000000e+01	2.925996e+00
2.060000000000000e+01	2.926966e+00
2.070000000000000e+01	2.927936e+00
2.080000000000000e+01	2.928906e+00
2.090000000000000e+01	2.929877e+00
2.100000000000000e+01	2.930846e+00
2.110000000000000e+01	2.931816e+00
2.120000000000000e+01	2.932786e+00
2.130000000000000e+01	2.933755e+00
2.140000000000000e+01	2.934725e+00
2.150000000000000e+01	2.935694e+00
2.160000000000000e+01	2.936663e+00
2.170000000000000e+01	2.937632e+00
2.180000000000000e+01	2.938601e+00
2.190000000000000e+01	2.939570e+00
2.200000000000000e+01	2.940539e+00
2.210000000000000e+01	2.941507e+00
2.220000000000000e+01	2.942476e+00
2.230000000000000e+01	2.943444e+00
2.240000000000000e+01	2.944412e+00
2.250000000000000e+01	2.945380e+00
2.260000000000000e+01	2.946348e+00
2.270000000000000e+01	2.947316e+00
2.280000000000000e+01	2.948284e+00
2.290000000000000e+01	2.949251e+00
2.300000000000000e+01	2.950219e+00
2.310000000000000e+01	2.951186e+00
2.320000000000000e+01	2.952154e+00
2.330000000000000e+01	2.953121e+00
2.340000000000000e+01	2.954088e+00
2.350000000000000e+01	2.955055e+00
2.360000000000000e+01	2.956022e+00
2.370000000000000e+01	2.956988e+00
2.380000000000000e+01	2.957955e+00
2.390000000000000e+01	2.958921e+00
2.400000000000000e+01	2.959888e+00
2.410000000000000e+01	2.960854e+00
2.420000000000000e+01	2.961820e+00
2.430000000000000e+01	2.962786e+00
2.440000000000000e+01	2.963752e+00
2.450000000000000e+01	2.964717e+00
2.460000000000000e+01	2.965683e+00
2.470000000000000e+01	2.966648e+00
2.480000000000000e+01	2.967614e+00
2.490000000000000e+01	2.968579e+00
2.500000000000000e+01	2.969544e+00
2.510000000000000e+01	2.970509e+00
2.520000000000000e+01	2.971474e+00
2.530000000000000e+01	2.972439e+00
2.540000000000000e+01	2.973404e+00
2.550000000000000e+01	2.974368e+00
2.560000000000000e+01	2.975333e+00
2.570000000000000e+01	2.976297e+00
2.580000000000000e+01	2.977261e+00
2.590000000000000e+01	2.978225e+00
2.600000000000000e+01	2.979189e+00
2.610000000000000e+01	2.980153e+00
2.620000000000000e+01	2.981117e+00
2.630000000000000e+01	2.982080e+00
2.640000000000000e+01	2.983044e+00
2.650000000000000e+01	2.984007e+00
2.660000000000000e+01	2.984971e+00
2.670000000000000e+01	2.985934e+00
2.680000000000000e+01	2.986897e+00
2.690000000000000e+01	2.987860e+00
2.700000000000000e+01	2.988822e+00
2.710000000000000e+01	2.989785e+00
2.720000000000000e+01	2.990748e+00
2.730000000000000e+01	2.991710e+00
2.740000000000000e+01	2.992672e+00
2.750000000000000e+01	2.993635e+00
2.760000000000000e+01	2.994597e+00
2.770000000000000e+01	2.995559e+00
2.780000000000000e+01	2.996521e+00
2.790000000000000e+01	2.997483e+00
2.800000000000000e+01	2.998444e+00
2.810000000000000e+01	2.999406e+00
2.820000000000000e+01	3.000367e+00
2.830000000000000e+01	3.001328e+00
2.840000000000000e+01	3.002290e+00
2.850000000000000e+01	3.003251e+00
2.860000000000000e+01	3.004211e+00
2.870000000000000e+01	3.005172e+00
2.880000000000000e+01	3.006133e+00
2.890000000000000e+01	3.007093e+00
2.900000000000000e+01	3.008054e+00
2.910000000000000e+01	3.009014e+00
2.920000000000000e+01	3.009974e+00
2.930000000000000e+01	3.010935e+00
2.940000000000000e+01	3.011895e+00
2.950000000000000e+01	3.012855e+00
2.960000000000000e+01	3.013814e+00
2.970000000000000e+01	3.014774e+00
2.980000000000000e+01	3.015733e+00
2.990000000000000e+01	3.016693e+00
3.000000000000000e+01	3.017652e+00
3.010000000000000e+01	3.018611e+00
3.020000000000000e+01	3.019571e+00
3.030000000000000e+01	3.020530e+00
3.040000000000000e+01	3.021488e+00
3.050000000000000e+01	3.022447e+00
3.060000000000000e+01	3.023406e+00
3.070000000000000e+01	3.024364e+00
3.080000000000000e+01	3.025322e+00
3.090000000000000e+01	3.026281e+00
3.100000000000000e+01	3.027239e+00
3.110000000000000e+01	3.028197e+00
3.120000000000000e+01	3.029155e+00
3.130000000000000e+01	3.030113e+00
3.140000000000000e+01	3.031070e+00
3.150000000000000e+01	3.032028e+00
3.160000000000000e+01	3.032985e+00
3.170000000000000e+01	3.033942e+00
3.180000000000000e+01	3.034900e+00
3.190000000000000e+01	3.035857e+00
3.200000000000000e+01	3.036814e+00
3.210000000000000e+01	3.037771e+00
3.220000000000000e+01	3.038728e+00
3.230000000000000e+01	3.039684e+00
3.240000000000000e+01	3.040641e+00
3.250000000000000e+01	3.041597e+00
3.260000000000000e+01	3.042553e+00
3.270000000000000e+01	3.043509e+00
3.280000000000000e+01	3.044466e+00
3.290000000000000e+01	3.045421e+00
3.300000000000000e+01	3.046377e+00
3.310000000000000e+01	3.047333e+00
3.320000000000000e+01	3.048289e+00
3.330000000000000e+01	3.049244e+00
3.340000000000000e+01	3.050200e+00
3.350000000000000e+01	3.051155e+00
3.360000000000000e+01	3.052110e+00
3.370000000000000e+01	3.053065e+00
3.380000000000000e+01	3.054020e+00
3.390000000000000e+01	3.054975e+00
3.400000000000000e+01	3.055929e+00
3.410000000000000e+01	3.056884e+00
3.420000000000000e+01	3.057838e+00
3.430000000000000e+01	3.058793e+00
3.440000000000000e+01	3.059747e+00
3.450000000000000e+01	3.060701e+00
3.460000000000000e+01	3.061655e+00
3.470000000000000e+01	3.062609e+00
3.480000000000000e+01	3.063562e+00
3.490000000000000e+01	3.064516e+00
3.500000000000000e+01	3.065470e+00
Step Information: Vgs=3  (Step: 3/6)
0.000000000000000e+00	2.171391e-31
1.000000000000000e-01	1.133933e+00
2.000000000000000e-01	2.202425e+00
3.000000000000000e-01	3.201508e+00
4.000000000000000e-01	4.126881e+00
5.000000000000000e-01	4.973881e+00
6.000000000000001e-01	5.737436e+00
7.000000000000001e-01	6.412025e+00
8.000000000000000e-01	6.991621e+00
9.000000000000000e-01	7.469635e+00
1.000000000000000e+00	7.838847e+00
1.100000000000000e+00	8.091331e+00
1.200000000000000e+00	8.218355e+00
1.300000000000000e+00	8.233547e+00
1.400000000000000e+00	8.236265e+00
